编号	DOI	完整引用
1	10.3322/caac.21660	Sung H, Ferlay J, Siegel RL, et al. Global cancer statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin. 2021;71(3):209-249.
2	10.1038/s41571-021-00565-2	Bianchini G, De Angelis C, Licata L, Gianni L. Treatment landscape of triple-negative breast cancer - expanded options, evolving needs. Nat Rev Clin Oncol. 2022;19(2):91-113.
3	10.1158/1078-0432.CCR-06-3045	Dent R, Trudeau M, Pritchard KI, et al. Triple-negative breast cancer: clinical features and patterns of recurrence. Clin Cancer Res. 2007;13(15 Pt 1):4429-4434.
4	10.1186/s13058-020-01296-5	Yin L, Duan JJ, Bian XW, Yu SC. Triple-negative breast cancer molecular subtyping and treatment progress. Breast Cancer Res. 2020;22(1):61.
5	10.1200/JCO.2013.55.0491	Adams S, Gray RJ, Demaria S, et al. Prognostic value of tumor-infiltrating lymphocytes in triple-negative breast cancers from two phase III randomized adjuvant breast cancer trials: ECOG 2197 and ECOG 1199. J Clin Oncol. 2014;32(27):2959-2966.
6	10.1158/2326-6066.CIR-13-0127	Mittendorf EA, Philips AV, Meric-Bernstam F, et al. PD-L1 expression in triple-negative breast cancer. Cancer Immunol Res. 2014;2(4):361-370.
7	10.1016/S0140-6736(20)32531-9	Cortes J, Cescon DW, Rugo HS, et al. Pembrolizumab plus chemotherapy versus placebo plus chemotherapy for previously untreated locally recurrent inoperable or metastatic triple-negative breast cancer (KEYNOTE-355): a randomised, placebo-controlled, double-blind, phase 3 clinical trial. Lancet. 2020;396(10265):1817-1828.
8	10.1056/NEJMoa2202809	Cortes J, Rugo HS, Cescon DW, et al. Pembrolizumab plus chemotherapy in advanced triple-negative breast cancer. N Engl J Med. 2022;387(3):217-226.
9	10.1001/jamaoncol.2018.4224	Emens LA, Cruz C, Eder JP, et al. Long-term clinical outcomes and biomarker analyses of atezolizumab therapy for patients with metastatic triple-negative breast cancer: a phase 1 study. JAMA Oncol. 2019;5(1):74-82.
10	10.6004/jnccn.2020.7554	Keenan TE, Tolaney SM. Role of immunotherapy in triple-negative breast cancer. J Natl Compr Canc Netw. 2020;18(4):479-489.
11	10.1038/nri.2017.76	Papalexi E, Satija R. Single-cell RNA sequencing to explore immune cell heterogeneity. Nat Rev Immunol. 2018;18(1):35-45.
12	10.1038/s41581-018-0021-7	Potter SS. Single-cell RNA sequencing for the study of development, physiology and disease. Nat Rev Nephrol. 2018;14(8):479-492.
13	10.1038/s41591-021-01323-8	Bassez A, Vos H, Van Dyck L, et al. A single-cell map of intratumoral changes during anti-PD1 treatment of patients with breast cancer. Nat Med. 2021;27(5):820-832.
14	10.1016/j.ccell.2021.09.010	Zhang Y, Chen H, Mo H, et al. Single-cell analyses reveal key immune cell subsets associated with response to PD-L1 blockade in triple-negative breast cancer. Cancer Cell. 2021;39(12):1578-1593.e8.
15	10.3390/biom11010060	Cetin G, Klafack S, Studencka-Turski M, Krüger E, Ebstein F. The ubiquitin-proteasome system in immune cells. Biomolecules. 2021;11(1):60.
16	10.1002/embr.201338025	Zinngrebe J, Montinaro A, Peltzer N, Walczak H. Ubiquitin in the immune system. EMBO Rep. 2014;15(1):28-45.
17	10.1146/annurev-biochem-060310-170328	Komander D, Rape M. The ubiquitin code. Annu Rev Biochem. 2012;81:203-229.
18	10.1146/annurev.biochem.67.1.425	Hershko A, Ciechanover A. The ubiquitin system. Annu Rev Biochem. 1998;67:425-479.
19	10.1038/ni855	Naramura M, Jang IK, Kole H, et al. c-Cbl and Cbl-b regulate T cell responsiveness by promoting ligand-induced TCR down-modulation. Nat Immunol. 2002;3(12):1192-1199.
20	10.1038/emboj.2011.434	Sun XX, Challagundla KB, Dai MS. Positive regulation of p53 stability and activity by the deubiquitinating enzyme Otubain 1. EMBO J. 2012;31(3):576-592.
21	10.1186/1476-4598-13-258	Zhou Y, Wu J, Fu X, et al. OTUB1 promotes metastasis and serves as a marker of poor prognosis in colorectal cancer. Mol Cancer. 2014;13:258.
22	10.1038/nm.3739	Popovic D, Vucic D, Dikic I. Ubiquitination in disease pathogenesis and treatment. Nat Med. 2014;20(11):1242-1253.
23	10.1126/science.1203486	Schreiber RD, Old LJ, Smyth MJ. Cancer immunoediting: integrating immunity's roles in cancer suppression and promotion. Science. 2011;331(6024):1565-1570.
24	10.1056/NEJMoa1602253	Cardoso F, van't Veer LJ, Bogaerts J, et al. 70-Gene signature as an aid to treatment decisions in early-stage breast cancer. N Engl J Med. 2016;375(8):717-729.
25	10.1056/NEJMoa041588	Paik S, Shak S, Tang G, et al. A multigene assay to predict recurrence of tamoxifen-treated, node-negative breast cancer. N Engl J Med. 2004;351(27):2817-2826.
26	10.1200/JCO.2008.18.1370	Parker JS, Mullins M, Cheang MC, et al. Supervised risk predictor of breast cancer based on intrinsic subtypes. J Clin Oncol. 2009;27(8):1160-1167.
27	10.1186/bcr2635	Prat A, Parker JS, Karginova O, et al. Phenotypic and molecular characterization of the claudin-low intrinsic subtype of breast cancer. Breast Cancer Res. 2010;12(5):R68.
28	10.1158/1078-0432.CCR-14-0432	Burstein MD, Tsimelzon A, Poage GM, et al. Comprehensive genomic analysis identifies novel subtypes and targets of triple-negative breast cancer. Clin Cancer Res. 2015;21(7):1688-1698.
29	10.1371/journal.pone.0157368	Lehmann BD, Jovanovic B, Chen X, et al. Refinement of triple-negative breast cancer molecular subtypes: implications for neoadjuvant chemotherapy selection. PLoS One. 2016;11(6):e0157368.
30	10.1158/1078-0432.CCR-13-0799	Masuda H, Baggerly KA, Wang Y, et al. Differential response to neoadjuvant chemotherapy among 7 triple-negative breast cancer molecular subtypes. Clin Cancer Res. 2013;19(19):5533-5540.
31	10.1186/s13058-016-0690-8	Liu YR, Jiang YZ, Xu XE, et al. Comprehensive transcriptome analysis identifies novel molecular subtypes and subtype-specific RNAs of triple-negative breast cancer. Breast Cancer Res. 2016;18(1):33.
32	10.1038/ncomms15081	Chung W, Eum HH, Lee HO, et al. Single-cell RNA-seq enables comprehensive tumour and immune cell profiling in primary breast cancer. Nat Commun. 2017;8:15081.
33	10.1016/j.cell.2018.05.060	Azizi E, Carr AJ, Plitas G, et al. Single-cell map of diverse immune phenotypes in the breast tumor microenvironment. Cell. 2018;174(5):1293-1308.e36.
34	10.1200/JCO.18.01010	Loi S, Drubay D, Adams S, et al. Tumor-infiltrating lymphocytes and prognosis: a pooled individual patient analysis of early-stage triple-negative breast cancers. J Clin Oncol. 2019;37(7):559-569.
35	10.1038/s41467-021-21246-9	Jin S, Guerrero-Juarez CF, Zhang L, et al. Inference and analysis of cell-cell communication using CellChat. Nat Commun. 2021;12(1):1088.
36	注:原文献信息可能有误	Nguyen NT, Nakahama T, Le DH, et al. ARMET is a regulator of lysosomal degradation and aggresome formation. Nat Commun. 2016;7:12155. (注:该文献信息需核对,未能查证DOI)
37	10.1186/1471-2105-9-559	Langfelder P, Horvath S. WGCNA: an R package for weighted correlation network analysis. BMC Bioinformatics. 2008;9:559.
38	10.1111/j.2517-6161.1996.tb02080.x	Tibshirani R. Regression shrinkage and selection via the lasso. J R Stat Soc Series B Stat Methodol. 1996;58(1):267-288.
