编号	DOI	完整引用
1	10.3390/cancers16132378	Malinowsky K, Trojniak MP, Klotz DM. Triple-Negative Breast Cancer on the Rise: Breakthroughs and Beyond. Cancers (Basel). 2024;16(13):2378.
2	10.1038/nbt.4314	Becht E, McInnes L, Healy J, et al. Dimensionality reduction for visualizing single-cell data using UMAP. Nat Biotechnol. 2019;37:38-44.
3	10.1200/JCO.18.01010	Loi S, Drubay D, Adams S, et al. Tumor-Infiltrating Lymphocytes and Prognosis: A Pooled Individual Patient Analysis of Early-Stage Triple-Negative Breast Cancers. J Clin Oncol. 2019;37(7):559-569.
4	10.1038/s41467-021-21246-9	Jin S, Guerrero-Juarez CF, Zhang L, et al. Inference and analysis of cell-cell communication using CellChat. Nat Commun. 2021;12(1):1088.
5	10.1038/nri.2017.49	Nagarsheth N, Wicha MS, Zou W. Chemokines in the cancer microenvironment and their relevance in cancer immunotherapy. Nat Rev Immunol. 2017;17(9):559-572.
6	10.1038/s41568-023-00635-w	Mempel TR, Lill JK, Altenburger LM. How chemokines organize the tumour microenvironment. Nat Rev Cancer. 2024;24(1):28-50.
7	10.4049/jimmunol.1700062	Meyer C, Sevko A, Ramacher M, et al. Chronic inflammation promotes myeloid-derived suppressor cell activation blocking antitumor immunity in transgenic mouse melanoma model. J Immunol. 2011;187(10):5323-5334.
8	10.3390/cells13010029	Hu J, Xu J, Li M, Zhang Y, Yi W, Chen J, et al. Targeting the Ubiquitin-Proteasome System and Recent Advances in Cancer Therapy. Cells. 2024;13(1):29.
9	10.1186/1471-2105-9-559	Langfelder P, Horvath S. WGCNA: an R package for weighted correlation network analysis. BMC Bioinformatics. 2008;9:559.
10	10.1186/s12885-022-10117-1	Martinez-Romero J, Bueno-Fortes S, Martin-Merino M, et al. Survival marker genes of colorectal cancer derived from consistent transcriptomic profiling. BMC Cancer. 2022;22(1):1099.
11	10.3390/cells8050497	Sharma P, Alsharif S, Fallatah A, Chung BM. Intermediate filaments as effectors of cancer development and metastasis: a focus on keratins, vimentin, and nestin. Cells. 2019;8(5):497.
12	10.1038/onc.2015.208	Karunarathna U, Kongsema M, Zona S, et al. OTUB1 inhibits the ubiquitination and degradation of FOXM1 in breast cancer and epirubicin resistance. Oncogene. 2016;35(11):1433-1444.
13	10.3389/fendo.2023.1119105	Yao N, Shi W, Liu T. A novel conditional survival nomogram for monitoring real-time prognosis of non-metastatic triple-negative breast cancer. Front Endocrinol (Lausanne). 2023;14:1119105.
14	10.1186/s41512-019-0057-6	Skaltsa K, Jover L, Carrasco JL. Estimation of the diagnostic threshold accounting for decision costs and sampling uncertainty. Stat Med. 2010;29(24):2502-2519.
15	10.1186/s12874-017-0332-6	Kamarudin AN, Cox T, Kolamunnage-Dona R. Time-dependent ROC curve analysis in medical research: current methods and applications. BMC Med Res Methodol. 2017;17(1):53.
16	10.1093/nar/gkab1026	Gene Ontology Consortium. The Gene Ontology resource: enriching a GOld mine. Nucleic Acids Res. 2021;49(D1):D325-D334.
17	10.1186/s13058-020-01296-5	Yin L, Duan JJ, Bian XW, Yu SC. Triple-negative breast cancer molecular subtyping and treatment progress. Breast Cancer Res. 2020;22(1):61.
18	10.1038/s41467-017-00244-w	Gao R, Kim C, Sei E, et al. Nanogrid single-nucleus RNA sequencing reveals phenotypic diversity in breast cancer. Nat Commun. 2017;8:228.
