编号	DOI	文献名	修正说明
1	10.1038/s41571-021-00565-2	Bianchini G, De Angelis C, Licata L, Gianni L. Treatment landscape of triple-negative breast cancer - expanded options, evolving needs. Nat Rev Clin Oncol. (2022) 19:91-113.
2	10.1186/s13058-020-01296-5	Yin L, Duan JJ, Bian XW, Yu SC. Triple-negative breast cancer molecular subtyping and treatment progress. Breast Cancer Res. (2020) 22:61.
3	10.3389/fmolb.2022.903065	Ribeiro R, Carvalho MJ, Goncalves J, Moreira JN. Immunotherapy in triple-negative breast cancer: Insights into tumor immune landscape and therapeutic opportunities. Front Mol Biosci. (2022) 9:903065.
4	10.1158/1078-0432.CCR-18-3524	Xiao Y, Ma D, Zhao S, et al. Multi-omics profiling reveals distinct microenvironment characterization and suggests immune escape mechanisms of triple-negative breast cancer. Clin Cancer Res. (2019) 25(16):5002-5014.	原文献标注为Nature Communications，实际发表在Clinical Cancer Research
5	10.1200/JCO.2013.55.0491	Adams S, Gray RJ, Demaria S, et al. Prognostic value of tumor-infiltrating lymphocytes in triple-negative breast cancers from two phase III randomized adjuvant breast cancer trials: ECOG 2197 and ECOG 1199. J Clin Oncol. (2014) 32:2959-2966.
6	10.1200/JCO.18.01010	Loi S, Drubay D, Adams S, et al. Tumor-infiltrating lymphocytes and prognosis: a pooled individual patient analysis of early-stage triple-negative breast cancers. J Clin Oncol. (2019) 37:559-569.
7	10.1038/s41467-017-00244-w	Gao R, Kim C, Sei E, et al. Nanogrid single-nucleus RNA sequencing reveals phenotypic diversity in breast cancer. Nat Commun. (2017) 8:228.
8	10.1038/s41467-018-06052-0	Karaayvaz M, Cristea S, Gillespie SM, et al. Unravelling subclonal heterogeneity and aggressive disease states in TNBC through single-cell RNA-seq. Nat Commun. (2018) 9:3588.
9	10.1038/s41591-018-0078-7	Savas P, Virassamy B, Ye C, et al. Single-cell profiling of breast cancer T cells reveals a tissue-resident memory subset associated with improved prognosis. Nat Med. (2018) 24:986-993.
10	10.1016/S1470-2045(17)30904-X	Denkert C, von Minckwitz G, Darb-Esfahani S, et al. Tumour-infiltrating lymphocytes and prognosis in different subtypes of breast cancer: a pooled analysis of 3771 patients. Lancet Oncol. (2018) 19:40-50.
